config,m,n,seed,algo,K_mult,cmax,lb,gap_pct,time_ms,assign_sha16
eval-m2-n50,2,50,3004,lpt,,1297,1297,0.000000,0.022,1a71df1724843e8d
eval-m2-n50,2,50,3004,multifit,,1297,1297,0.000000,0.084,6534cdf2ef23347f
eval-m2-n50,2,50,3004,lpt_ls,,1297,1297,0.000000,0.049,1a71df1724843e8d
eval-m2-n50,2,50,3004,rol,4,1297,1297,0.000000,0.114,1a71df1724843e8d
eval-m2-n50,2,50,3005,lpt,,1366,1365,0.073260,0.023,858ad784cfaeef55
eval-m2-n50,2,50,3005,multifit,,1365,1365,0.000000,0.086,56fd712a36533560
eval-m2-n50,2,50,3005,lpt_ls,,1365,1365,0.000000,0.098,aacdafea9b510555
eval-m2-n50,2,50,3005,rol,4,1366,1365,0.073260,0.106,858ad784cfaeef55
eval-m2-n50,2,50,3006,lpt,,1237,1237,0.000000,0.022,b0952db2dfc0f288
eval-m2-n50,2,50,3006,multifit,,1237,1237,0.000000,0.086,5d2d6c3c7c3db499
eval-m2-n50,2,50,3006,lpt_ls,,1237,1237,0.000000,0.050,b0952db2dfc0f288
eval-m2-n50,2,50,3006,rol,4,1237,1237,0.000000,0.126,b0952db2dfc0f288
eval-m2-n50,2,50,3007,lpt,,1104,1104,0.000000,0.021,28ec7196fb1b4c47
eval-m2-n50,2,50,3007,multifit,,1104,1104,0.000000,0.086,d8d1b617befa10c0
eval-m2-n50,2,50,3007,lpt_ls,,1104,1104,0.000000,0.073,28ec7196fb1b4c47
eval-m2-n50,2,50,3007,rol,4,1104,1104,0.000000,0.122,28ec7196fb1b4c47
eval-m2-n50,2,50,3008,lpt,,1210,1210,0.000000,0.023,a4f8511fd780c857
eval-m2-n50,2,50,3008,multifit,,1210,1210,0.000000,0.086,483ceacbba034142
eval-m2-n50,2,50,3008,lpt_ls,,1210,1210,0.000000,0.051,a4f8511fd780c857
eval-m2-n50,2,50,3008,rol,4,1210,1210,0.000000,0.120,a4f8511fd780c857
eval-m2-n50,2,50,3009,lpt,,1252,1251,0.079936,0.022,0f8bf9fdc30797b4
eval-m2-n50,2,50,3009,multifit,,1251,1251,0.000000,0.087,c39cc25ef587fa96
eval-m2-n50,2,50,3009,lpt_ls,,1251,1251,0.000000,0.079,d668a0d7e02c2277
eval-m2-n50,2,50,3009,rol,4,1252,1251,0.079936,0.115,0f8bf9fdc30797b4
eval-m2-n50,2,50,3010,lpt,,1407,1406,0.071124,0.021,27223b378ec6f4e7
eval-m2-n50,2,50,3010,multifit,,1406,1406,0.000000,0.084,de69bfd532dae40b
eval-m2-n50,2,50,3010,lpt_ls,,1406,1406,0.000000,0.083,d227215edad18ece
eval-m2-n50,2,50,3010,rol,4,1407,1406,0.071124,0.118,27223b378ec6f4e7
